time,position,velocity,q_current,command_position
0.0018412079953122884,0.234283447265625,-0.00044091365998610854,1.3931870460510254,
0.004579833010211587,0.236724853515625,0.200397789478302,6.136607646942139,
0.006734416994731873,0.258331298828125,1.797786831855774,7.407398223876953,
0.008217416994739324,0.2686920166015625,2.414264440536499,7.7000579833984375,
0.009813208016566932,0.2820281982421875,3.1628787517547607,6.671494483947754,
0.011424917000113055,0.2945098876953125,3.8076353073120117,7.938387870788574,
0.01282362500205636,0.3074493408203125,4.349902153015137,8.247891426086426,
0.01487412501592189,0.3242340087890625,4.971960067749023,7.82723331451416,
0.01629495801171288,0.3368377685546875,5.409605979919434,7.802881240844727,
0.017816375009715557,0.3497161865234375,5.774877071380615,7.7774553298950195,
0.019196542009012774,0.3611297607421875,6.041712760925293,7.740079402923584,
0.021011625009123236,0.372955322265625,6.311629772186279,7.849008560180664,
0.022815958014689386,0.3926544189453125,6.745407581329346,7.727567195892334,
0.024180417007301003,0.404388427734375,6.9470906257629395,7.4741106033325195,
0.025924625020707026,0.4194183349609375,7.164791584014893,7.405078411102295,
0.027315333019942045,0.4312896728515625,7.331789016723633,7.499217987060547,
0.028750833007507026,0.4433746337890625,7.456796169281006,7.92458438873291,
0.030394667002838105,0.4542388916015625,7.489766597747803,7.681527614593506,
0.03182195799308829,0.466339111328125,7.458861351013184,7.8466339111328125,
0.033218458003830165,0.4759368896484375,7.390824794769287,8.161444664001465,
0.03555683299782686,0.485198974609375,7.283596038818359,8.069782257080078,
0.03697695801383816,0.5003204345703125,7.141590595245361,7.403775691986084,
0.03839687499566935,0.5106964111328125,7.154539585113525,7.585887432098389,
0.03978245801408775,0.5214996337890625,7.218253135681152,7.459835052490234,
0.041163167014019564,0.5319366455078125,7.26239538192749,7.74721622467041,
0.04285425000125542,0.5448150634765625,7.305171489715576,7.4752936363220215,
0.04428112501045689,0.5562591552734375,7.383453845977783,7.610125541687012,
0.045992125000339,0.56988525390625,7.508291721343994,7.588086128234863,
0.04743804200552404,0.583099365234375,7.643902778625488,7.56696081161499,
0.04880941699957475,0.5952606201171875,7.781782150268555,7.417006969451904,
0.050211167021188885,0.60760498046875,7.897860527038574,7.803086280822754,
0.05185220800922252,0.6218719482421875,8.006178855895996,7.653346061706543,
0.05324287500116043,0.6345977783203125,8.106742858886719,7.553075790405273,
0.05464066701824777,0.6467132568359375,8.19010066986084,7.435628890991211,
0.0560527500056196,0.6596832275390625,8.310723304748535,6.932350158691406,
0.058543499995721504,0.6783294677734375,8.5806303024292,6.833470821380615,
0.06084158300654963,0.7096710205078125,9.025200843811035,6.846715450286865,
0.062381249997997656,0.7274627685546875,9.316039085388184,6.623420238494873,
0.0638125000114087,0.7440643310546875,9.575514793395996,6.764229774475098,
0.06520974999875762,0.7604217529296875,9.812663078308105,6.455121994018555,
0.06662150000920519,0.776763916015625,10.048262596130371,6.647984504699707,
0.06910033299936913,0.8038177490234375,10.406005859375,6.4390459060668945,
0.07050608299323358,0.8251953125,10.698246002197266,6.557565689086914,
0.07186700002057478,0.8430633544921875,10.96640682220459,6.387127876281738,
0.07325441701686941,0.861419677734375,11.231165885925293,6.390748500823975,
0.07465033300104551,0.8805999755859375,11.507938385009766,6.395310401916504,
0.07602649999898858,0.8999481201171875,11.767927169799805,6.367045879364014,
0.07741237501613796,0.9197540283203125,12.034013748168945,6.300300598144531,
0.07877287501469254,0.9392547607421875,12.279448509216309,6.514216899871826,
0.08017020800616592,0.959075927734375,12.524066925048828,5.45875883102417,
0.08162229199660942,0.97979736328125,12.779972076416016,6.299985885620117,
0.08302566700149328,1.002105712890625,13.064971923828125,6.230548858642578,
0.08442983301938511,1.023529052734375,13.315570831298828,6.355443477630615,
0.08585141701041721,1.04522705078125,13.524347305297852,6.160799026489258,
0.08721408300334588,1.066436767578125,13.744062423706055,5.8527374267578125,
0.08872179200989194,1.0892791748046875,14.03306770324707,5.657993316650391,
0.09011495800223202,1.1139984130859375,14.32534408569336,6.309369087219238,
0.09149137500207871,1.136138916015625,14.535752296447754,5.761552333831787,
0.09291983299772255,1.16009521484375,14.742337226867676,4.292072772979736,
0.09431420799228363,1.18194580078125,14.877662658691406,3.851963996887207,
0.09583850001217797,1.20458984375,14.862383842468262,3.774413824081421,
0.0972469580010511,1.223052978515625,14.673616409301758,3.277557373046875,
0.09866916699684225,1.2389373779296875,14.296955108642578,3.3596487045288086,
0.10006275001796894,1.2519989013671875,13.700610160827637,3.360058546066284,
0.1014447080087848,1.26104736328125,12.885773658752441,3.284149169921875,
0.10279937501763925,1.26617431640625,11.881576538085938,2.884450912475586,
0.10415195801761001,1.268341064453125,10.78039264678955,2.520258665084839,
0.105827124993084,1.2689971923828125,9.407925605773926,2.3816018104553223,
0.10742479201871902,1.26983642578125,8.421463966369629,1.9422158002853394,
0.10879404199658893,1.2734222412109375,7.638887882232666,0.932086169719696,
0.11015987501014024,1.280364990234375,7.362342834472656,-0.6063545942306519,
0.11152191701694392,1.2916107177734375,7.459908485412598,-0.8332532644271851,
0.1128858330193907,1.3057708740234375,7.779548645019531,-0.22170832753181458,
0.11427200000616722,1.3208465576171875,8.136933326721191,0.2367973029613495,
0.11578945801011287,1.338348388671875,8.537342071533203,0.1543414145708084,
0.11719120800262317,1.355255126953125,8.9351167678833,-0.359724760055542,
0.11862058300175704,1.3725738525390625,9.345250129699707,-0.756098210811615,
0.12013450000085868,1.3912811279296875,9.771039962768555,-0.7264928817749023,
0.12154262501280755,1.411285400390625,10.169639587402344,-0.8635839223861694,
